#step	logL
50014	-201.231
50048	-203.702
50082	-206.979
50116	-210.422
50150	-208.047
50184	-207.066
50218	-210.011
50252	-207.428
50286	-203.764
50320	-205.869
50354	-202.218
50388	-191.508
50422	-200.299
50456	-187.973
50490	-197.647
50524	-199.553
50558	-197.161
50592	-205.77
50626	-195.254
50660	-189.299
50694	-191.667
50728	-195.66
50762	-191.027
50796	-201.909
50830	-195.88
50864	-201.032
50898	-201.038
50932	-208.753
50966	-210.276
51000	-201.136
51034	-199.953
51068	-206.363
51102	-200.931
51136	-212.085
51170	-198.721
51204	-194.428
51238	-197.93
51272	-194.579
51306	-191.976
51340	-194.627
51374	-199.809
51408	-201.349
51442	-207.57
51476	-196.32
51510	-200.604
51544	-194.5
51578	-206.548
51612	-204.562
51646	-194.328
51680	-185.74
51714	-183.357
51748	-193.823
51782	-196.386
51816	-199.31
51850	-203.585
51884	-200.028
51918	-200.072
51952	-194.813
51986	-202.711
52020	-196.607
52054	-197.669
52088	-194.931
52122	-197.949
52156	-196.103
52190	-194.831
52224	-205.754
52258	-197.78
52292	-206.503
52326	-205.102
52360	-205.889
52394	-208.012
52428	-209.448
52462	-205.979
52496	-199.016
52530	-213.319
52564	-214.881
52598	-210.177
52632	-202.872
52666	-205.185
52700	-205.878
52734	-206.575
52768	-205.655
52802	-202.61
52836	-202.153
52870	-207.448
52904	-204.464
52938	-198.555
52972	-195.602
53006	-196.18
53040	-205.071
53074	-202.657
53108	-208.154
53142	-206.532
53176	-209.405
53210	-206.515
53244	-208.879
53278	-209.445
53312	-207.718
53346	-211.359
53380	-206.8
53414	-209.502
53448	-209.891
53482	-210.287
53516	-207.783
53550	-207.912
53584	-208.063
53618	-209.27
53652	-209.02
53686	-204.996
53720	-206.43
53754	-203.513
53788	-193.455
53822	-191.397
53856	-191.131
53890	-197.929
53924	-203.596
53958	-194.838
53992	-190.763
54026	-207.397
54060	-200.297
54094	-203.002
54128	-199.108
54162	-188.525
54196	-187.825
54230	-189.733
54264	-189.87
54298	-193.94
54332	-192.111
54366	-180.813
54400	-183.767
54434	-180.314
54468	-185.943
54502	-189.968
54536	-192.252
54570	-189.861
54604	-197.233
54638	-195.548
54672	-194.175
54706	-192.056
54740	-194.398
54774	-191.582
54808	-192.434
54842	-196.205
